Date,Open,High,Low,Close,Adj Close,Volume
2021-06-28,78.489998,78.970001,78.330002,78.500000,78.211494,5605400
2021-06-29,78.540001,78.589996,77.820000,78.099998,77.812965,5392900
2021-06-30,77.589996,78.209999,77.580002,77.839996,77.553917,7899800
2021-07-01,77.980003,79.620003,77.910004,79.540001,79.247673,13108000
2021-07-02,79.449997,82.260002,79.349998,81.820000,81.519295,15258100
2021-07-06,81.599998,83.629997,81.360001,83.080002,82.774666,14200400
2021-07-07,83.169998,87.169998,82.959999,86.089996,85.773598,20976600
2021-07-08,85.019997,86.889999,84.660004,85.589996,85.275436,16383300
2021-07-09,85.879997,88.400002,85.779999,87.760002,87.437462,15685300
2021-07-12,87.529999,88.849998,86.970001,87.080002,86.759964,16076800
2021-07-13,86.699997,87.930000,86.529999,87.070000,86.750000,12789300
2021-07-14,87.080002,88.669998,86.660004,88.279999,88.279999,13330500
2021-07-15,88.099998,88.769997,85.510002,86.239998,86.239998,18306300
2021-07-16,86.750000,88.480003,86.519997,87.489998,87.489998,14617500
2021-07-19,86.910004,87.870003,86.190002,86.980003,86.980003,15619900
2021-07-20,87.099998,89.050003,87.019997,88.660004,88.660004,12813900
2021-07-21,88.889999,90.250000,88.459999,89.690002,89.690002,13108100
2021-07-22,90.000000,91.139999,89.680000,90.690002,90.690002,13638900
2021-07-23,90.989998,91.199997,87.120003,87.690002,87.690002,12680900
2021-07-26,87.440002,88.099998,86.669998,87.860001,87.860001,10454100
2021-07-27,87.760002,88.599998,87.120003,87.800003,87.800003,8465200
2021-07-28,87.900002,87.949997,87.120003,87.180000,87.180000,6396800
2021-07-29,87.680000,88.260002,87.330002,87.629997,87.629997,6201400
2021-07-30,87.410004,88.150002,86.870003,87.139999,87.139999,7962300
2021-08-02,87.730003,87.930000,87.089996,87.599998,87.599998,5579100
2021-08-03,87.879997,90.169998,87.809998,89.739998,89.739998,9889800
2021-08-04,89.790001,90.089996,89.279999,90.050003,90.050003,7509900
2021-08-05,90.180000,90.519997,88.760002,89.430000,89.430000,8231300
2021-08-06,89.239998,89.879997,88.820000,89.519997,89.519997,6513500
2021-08-09,89.459999,90.470001,89.099998,89.900002,89.900002,5798700
2021-08-10,89.099998,90.120003,88.930000,89.639999,89.639999,5473300
2021-08-11,89.900002,90.419998,89.510002,89.629997,89.629997,8009800
2021-08-12,89.110001,89.980003,88.669998,89.809998,89.809998,5687200
2021-08-13,90.620003,91.339996,89.949997,90.379997,90.379997,6640400
2021-08-16,89.860001,90.839996,89.540001,90.820000,90.820000,7122800
2021-08-17,90.989998,91.779999,90.370003,90.949997,90.949997,6738500
2021-08-18,90.489998,91.050003,88.860001,88.940002,88.940002,7666300
2021-08-19,88.290001,89.389999,88.230003,88.709999,88.709999,8099400
2021-08-20,88.800003,89.400002,88.300003,88.940002,88.940002,8716400
2021-08-23,89.489998,89.570000,88.709999,89.120003,89.120003,7147300
2021-08-24,89.209999,89.650002,88.470001,88.550003,88.550003,6320100
2021-08-25,88.550003,88.900002,88.050003,88.620003,88.620003,5748500
2021-08-26,88.809998,89.180000,88.459999,88.720001,88.720001,9093200
2021-08-27,88.790001,89.519997,88.610001,89.349998,89.349998,5426400
2021-08-30,89.459999,89.980003,89.300003,89.449997,89.449997,5357000
2021-08-31,89.449997,89.500000,88.489998,89.129997,89.129997,8113300
2021-09-01,89.260002,90.169998,88.870003,89.949997,89.949997,8208000
2021-09-02,90.169998,90.500000,89.410004,89.800003,89.800003,7717400
2021-09-03,89.339996,90.480003,89.300003,90.000000,90.000000,8456900
2021-09-07,90.040001,90.669998,88.540001,88.720001,88.720001,11046000
2021-09-08,88.139999,89.599998,87.970001,89.470001,89.470001,8851200
2021-09-09,89.599998,90.830002,89.410004,89.540001,89.540001,11034700
2021-09-10,89.650002,90.550003,89.510002,89.680000,89.680000,10545800
2021-09-13,90.120003,90.510002,88.230003,88.889999,88.889999,18883400
2021-09-14,86.190002,86.949997,84.730003,86.389999,86.389999,22714200
2021-09-15,86.550003,88.360001,86.169998,87.730003,87.730003,14951100
2021-09-16,87.669998,87.970001,86.190002,87.250000,87.250000,12410500
2021-09-17,86.209999,87.570000,85.949997,86.389999,86.389999,58069000
2021-09-20,85.029999,87.410004,84.930000,86.169998,86.169998,13897700
2021-09-21,86.739998,87.660004,86.120003,86.919998,86.919998,11124400
2021-09-22,87.620003,89.000000,87.239998,88.440002,88.440002,9908000
2021-09-23,88.940002,90.059998,88.660004,89.419998,89.419998,9720200
2021-09-24,89.269997,90.059998,88.940002,89.940002,89.940002,7617800
2021-09-27,89.779999,91.309998,89.150002,91.040001,91.040001,11533000
2021-09-28,90.639999,92.269997,90.050003,90.489998,90.489998,15041800
2021-09-29,91.150002,92.080002,91.000000,91.250000,91.250000,12006300
