Date	Open	High	Low	Close	AdjClose	Volume
Jun 02, 2020	9,590.00	9,670.00	9,504.75	9,647.75	9,647.75	389,908
Jun 01, 2020	9,513.00	9,605.75	9,450.25	9,595.00	9,595.00	345,593
May 29, 2020	9,453.50	9,590.50	9,372.00	9,560.25	9,560.25	529,700
May 28, 2020	9,436.50	9,565.50	9,320.50	9,460.25	9,460.25	510,617
May 27, 2020	9,409.00	9,508.00	9,172.50	9,432.50	9,432.50	560,524
May 26, 2020	9,396.25	9,604.00	9,373.00	9,406.50	9,406.50	486,546
May 22, 2020	9,360.50	9,422.50	9,241.50	9,406.25	9,406.25	365,377
May 21, 2020	9,494.75	9,510.75	9,352.00	9,355.75	9,355.75	429,220
May 20, 2020	9,289.75	9,498.00	9,273.00	9,485.50	9,485.50	369,922
May 19, 2020	9,316.25	9,417.25	9,283.75	9,300.75	9,300.75	392,499
May 18, 2020	9,135.00	9,361.50	9,110.25	9,325.50	9,325.50	398,562
May 15, 2020	9,085.50	9,148.50	8,925.50	9,096.50	9,096.50	537,250
May 14, 2020	9,012.75	9,104.00	8,847.00	9,079.50	9,079.50	639,071
May 13, 2020	9,045.75	9,202.75	8,878.25	8,992.25	8,992.25	703,290
May 12, 2020	9,282.00	9,345.50	9,040.50	9,078.25	9,078.25	500,539
May 11, 2020	9,194.75	9,339.00	9,118.50	9,279.00	9,279.00	398,142
May 08, 2020	9,115.00	9,238.00	9,103.25	9,218.25	9,218.25	362,315
May 07, 2020	8,947.50	9,126.00	8,930.25	9,107.75	9,107.75	383,884
May 06, 2020	8,928.50	9,056.50	8,877.75	8,952.00	8,952.00	414,045
May 05, 2020	8,806.25	9,020.00	8,798.50	8,924.25	8,924.25	367,233
May 04, 2020	8,624.00	8,828.00	8,556.25	8,795.50	8,795.50	381,914
May 01, 2020	8,847.00	8,879.00	8,672.00	8,718.00	8,718.00	414,560
Apr 30, 2020	9,109.50	9,144.75	8,856.50	8,988.50	8,988.50	462,961
Apr 29, 2020	8,759.25	9,118.75	8,733.75	9,036.50	9,036.50	432,414
Apr 28, 2020	8,819.00	8,945.75	8,654.50	8,719.75	8,719.75	440,939
Apr 27, 2020	8,766.00	8,898.00	8,730.00	8,824.25	8,824.25	355,545
Apr 24, 2020	8,588.25	8,780.25	8,498.25	8,769.00	8,769.00	380,231
Apr 23, 2020	8,636.25	8,786.50	8,580.50	8,598.75	8,598.75	435,112
Apr 22, 2020	8,447.00	8,700.00	8,400.00	8,638.00	8,638.00	373,067
Apr 21, 2020	8,695.00	8,763.00	8,342.00	8,431.75	8,431.75	582,449
Apr 20, 2020	8,799.50	8,846.00	8,687.00	8,692.00	8,692.00	427,981
Apr 17, 2020	8,909.75	8,966.75	8,689.50	8,809.00	8,809.00	509,555
Apr 16, 2020	8,576.00	8,842.50	8,500.50	8,734.25	8,734.25	539,163
Apr 15, 2020	8,706.25	8,707.50	8,486.50	8,594.00	8,594.00	407,752
Apr 14, 2020	8,337.00	8,710.00	8,319.00	8,692.50	8,692.50	431,916
Apr 13, 2020	8,296.00	8,338.75	8,073.25	8,327.25	8,327.25	385,072
Apr 09, 2020	8,195.25	8,326.25	8,101.75	8,227.50	8,227.50	522,648
Apr 08, 2020	8,015.00	8,242.00	7,953.25	8,189.75	8,189.75	424,380
Apr 07, 2020	8,034.25	8,303.25	7,948.00	8,012.00	8,012.00	531,043
Apr 06, 2020	7,535.75	8,099.00	7,535.50	8,029.75	8,029.75	396,874
Apr 03, 2020	7,623.00	7,660.25	7,423.50	7,522.75	7,522.75	351,874
Apr 02, 2020	7,473.50	7,656.25	7,376.00	7,627.25	7,627.25	436,829
Apr 01, 2020	7,772.50	7,773.50	7,404.25	7,438.75	7,438.75	411,364
Mar 31, 2020	7,856.75	7,995.00	7,747.50	7,786.25	7,786.25	424,386
Mar 30, 2020	7,395.75	7,884.00	7,365.00	7,854.75	7,854.75	419,576
Mar 27, 2020	7,882.75	7,893.25	7,551.25	7,568.50	7,568.50	443,315
Mar 26, 2020	7,483.50	7,893.50	7,310.25	7,844.00	7,844.00	567,711
Mar 25, 2020	7,544.75	7,761.00	7,371.50	7,467.75	7,467.75	656,698
Mar 24, 2020	7,005.75	7,572.25	7,005.75	7,554.75	7,554.75	556,553
Mar 23, 2020	6,798.00	7,316.25	6,628.75	6,984.50	6,984.50	633,237
Mar 20, 2020	7,195.00	7,649.00	7,153.50	7,417.98	7,417.98	562,616
Mar 19, 2020	7,251.75	7,521.50	6,894.25	7,293.50	7,293.50	115,519
Mar 18, 2020	7,386.00	7,392.25	6,830.00	7,225.25	7,225.25	156,283
Mar 17, 2020	7,053.00	7,552.25	6,948.75	7,405.25	7,405.25	317,501
Mar 16, 2020	7,903.00	7,905.25	6,927.00	7,057.50	7,057.50	307,368
Mar 13, 2020	7,100.00	7,978.00	6,942.50	7,915.75	7,915.75	584,274
Mar 12, 2020	7,998.75	8,108.00	7,128.50	7,215.25	7,215.25	876,291
Mar 11, 2020	8,317.00	8,334.25	7,892.75	8,003.50	8,003.50	990,236
Mar 10, 2020	7,893.75	8,378.75	7,814.25	8,331.50	8,331.50	982,070
Mar 09, 2020	8,369.00	8,375.00	7,820.00	7,951.50	7,951.50	560,913
Mar 06, 2020	8,677.00	8,726.50	8,310.50	8,503.25	8,503.25	1,097,279
Mar 05, 2020	8,889.00	8,899.75	8,610.75	8,648.75	8,648.75	954,104
Mar 04, 2020	8,557.50	8,950.00	8,508.25	8,896.50	8,896.50	939,032
Mar 03, 2020	8,830.50	9,002.50	8,511.00	8,582.50	8,582.50	1,295,648
Mar 02, 2020	8,349.25	8,883.25	8,224.25	8,791.25	8,791.25	1,373,357
Feb 28, 2020	8,347.00	8,574.75	8,126.25	8,454.00	8,454.00	1,527,204
Feb 27, 2020	8,811.50	8,878.50	8,334.25	8,382.75	8,382.75	1,580,041
Feb 26, 2020	8,868.25	9,037.50	8,709.50	8,850.25	8,850.25	1,251,412
Feb 25, 2020	9,091.00	9,224.25	8,810.00	8,854.25	8,854.25	1,344,897
Feb 24, 2020	9,355.25	9,365.00	9,041.25	9,091.00	9,091.00	1,171,879
Feb 21, 2020	9,617.25	9,623.75	9,411.50	9,458.00	9,458.00	911,839
Feb 20, 2020	9,744.75	9,763.00	9,517.00	9,624.25	9,624.25	802,424
Feb 19, 2020	9,643.25	9,748.75	9,641.25	9,733.50	9,733.50	419,130
Feb 18, 2020	9,635.00	9,687.50	9,534.25	9,636.00	9,636.00	668,505
Feb 14, 2020	9,626.25	9,659.25	9,588.00	9,632.25	9,632.25	489,387
Feb 13, 2020	9,621.50	9,644.75	9,511.25	9,613.00	9,613.00	613,580
Feb 12, 2020	9,536.25	9,628.25	9,523.75	9,625.75	9,625.75	454,472
Feb 11, 2020	9,525.00	9,609.50	9,501.25	9,527.25	9,527.25	589,570
Feb 10, 2020	9,401.50	9,531.50	9,330.75	9,527.50	9,527.50	500,147
Feb 07, 2020	9,467.00	9,471.00	9,385.00	9,409.50	9,409.50	592,695
Feb 06, 2020	9,390.00	9,464.00	9,362.50	9,455.50	9,455.50	545,054
Feb 05, 2020	9,357.00	9,462.75	9,317.75	9,381.50	9,381.50	729,548
Feb 04, 2020	9,099.00	9,369.25	9,073.00	9,355.00	9,355.00	563,913
Feb 03, 2020	8,982.75	9,155.75	8,975.00	9,114.25	9,114.25	680,726
Jan 31, 2020	9,226.50	9,248.75	8,966.00	8,997.75	8,997.75	898,384
Jan 30, 2020	9,111.25	9,240.00	9,003.50	9,216.25	9,216.25	846,585
Jan 29, 2020	9,119.50	9,158.75	9,072.25	9,098.50	9,098.50	578,408
Jan 28, 2020	8,952.50	9,136.25	8,952.50	9,105.25	9,105.25	632,550
Jan 27, 2020	9,077.00	9,077.00	8,925.50	8,954.50	8,954.50	792,705
Jan 24, 2020	9,252.00	9,287.25	9,109.50	9,144.50	9,144.50	758,796
Jan 23, 2020	9,190.00	9,253.50	9,151.75	9,248.25	9,248.25	616,950
Jan 22, 2020	9,179.50	9,254.00	9,174.25	9,195.75	9,195.75	519,015
Jan 21, 2020	9,174.00	9,199.75	9,114.75	9,169.75	9,169.75	532,160
Jan 17, 2020	9,137.00	9,189.25	9,130.00	9,174.50	9,174.50	438,669
Jan 16, 2020	9,061.75	9,140.25	9,061.50	9,133.50	9,133.50	397,881
Jan 15, 2020	9,062.00	9,096.00	9,023.00	9,060.00	9,060.00	497,100
Jan 14, 2020	9,087.75	9,114.75	9,035.00	9,062.50	9,062.50	553,343
Jan 13, 2020	8,979.00	9,095.50	8,979.00	9,088.25	9,088.25	380,440
Jan 10, 2020	9,010.00	9,055.50	8,966.25	8,978.25	8,978.25	472,166
Jan 09, 2020	8,948.75	9,022.25	8,932.50	9,009.00	9,009.00	457,262
Jan 08, 2020	8,841.50	8,972.25	8,678.00	8,944.50	8,944.50	723,085
Jan 07, 2020	8,853.25	8,894.75	8,825.75	8,853.00	8,853.00	510,004
Jan 06, 2020	8,772.25	8,873.00	8,723.00	8,847.50	8,847.50	469,514
Jan 03, 2020	8,895.50	8,907.25	8,735.25	8,810.00	8,810.00	599,887
Jan 02, 2020	8,776.75	8,901.50	8,769.50	8,891.75	8,891.75	416,637
